Innehållsförteckning;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Värden;Egen/annan produktion;Område;Därav;varav;Läkare/ Övrigt;Prestationsgrupp;Prestation;År;Blekinge;Dalarna;Gotland;Gävleborg;Halland;Jämtland Härjedalen;Jönköping;Kalmar;Kronoberg;Norrbotten;Skåne;Stockholm;Sörmland;Uppsala;Värmland;Västerbotten;Västernorrland;Västmanland;Västra Götaland;Örebro;Östergötland;Riket
;Besök per specialitet;Offentlig regi;Specialiserad psykiatrisk vård;Rättspsykiatri;Rättspsykiatri;Ej läkare;Hemsjukvårdsbesök;Hemsjukvårdsbesök;2008;;;;1;;;;;;;;;;4;;;;;;;;5
;Besök per specialitet;Offentlig regi;Specialiserad psykiatrisk vård;Rättspsykiatri;Rättspsykiatri;Ej läkare;Hemsjukvårdsbesök;Hemsjukvårdsbesök;2009;;;;;;;;;;;;;;9;;;;;;;1;10
;Besök per specialitet;Offentlig regi;Specialiserad psykiatrisk vård;Rättspsykiatri;Rättspsykiatri;Ej läkare;Hemsjukvårdsbesök;Hemsjukvårdsbesök;2012;;;;;;;;;;;;;;;;;156;;;;;156
;Besök per specialitet;Offentlig regi;Specialiserad psykiatrisk vård;Rättspsykiatri;Rättspsykiatri;Ej läkare;Hemsjukvårdsbesök;Hemsjukvårdsbesök;2013;;;;;;;;;;;;;;111;;;217;;;;;328
;Besök per specialitet;Offentlig regi;Specialiserad psykiatrisk vård;Rättspsykiatri;Rättspsykiatri;Ej läkare;Hemsjukvårdsbesök;Hemsjukvårdsbesök;2014;;;;;;;;;;;;;;2;;;;;;;;2
;Besök per specialitet;Offentlig regi;Specialiserad psykiatrisk vård;Rättspsykiatri;Rättspsykiatri;Ej läkare;Hemsjukvårdsbesök;Hemsjukvårdsbesök;2016;;;;;;;;;;0;;;;;;;7;;;;;7
;Besök per specialitet;Offentlig regi;Specialiserad psykiatrisk vård;Rättspsykiatri;Rättspsykiatri;Ej läkare;Hemsjukvårdsbesök;Hemsjukvårdsbesök;2017;;;;;;;;;;;;;;;;0;4;;;0;;4
;Besök per specialitet;Offentlig regi;Specialiserad psykiatrisk vård;Rättspsykiatri;Rättspsykiatri;Ej läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (och hembesök);2008;;;;213;;;745;;30;;1 911;;;1 102;;1 718;49;;2 286;771;174;8 999
;Besök per specialitet;Offentlig regi;Specialiserad psykiatrisk vård;Rättspsykiatri;Rättspsykiatri;Ej läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (och hembesök);2009;;;;;;;539;;14;;3 859;;;769;;1 337;78;543;3 938;866;223;12 166
;Besök per specialitet;Offentlig regi;Specialiserad psykiatrisk vård;Rättspsykiatri;Rättspsykiatri;Ej läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (och hembesök);2010;;;;;;;755;322;1;;6 268;;337;15 561;;2 155;10;522;3 980;1 237;198;31 346
;Besök per specialitet;Offentlig regi;Specialiserad psykiatrisk vård;Rättspsykiatri;Rättspsykiatri;Ej läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (och hembesök);2011;;11;;;;;603;311;;;6 651;;248;875;325;1 554;564;435;4 175;911;219;16 882
;Besök per specialitet;Offentlig regi;Specialiserad psykiatrisk vård;Rättspsykiatri;Rättspsykiatri;Ej läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (och hembesök);2012;;;;;;;;368;;;7 148;;356;980;116;1 308;439;537;3 886;946;244;16 328
;Besök per specialitet;Offentlig regi;Specialiserad psykiatrisk vård;Rättspsykiatri;Rättspsykiatri;Ej läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (och hembesök);2013;;;;;;;;420;;;7 207;12 430;277;734;;1 282;306;518;3 891;1 001;321;28 387
;Besök per specialitet;Offentlig regi;Specialiserad psykiatrisk vård;Rättspsykiatri;Rättspsykiatri;Ej läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (och hembesök);2014;;;;;;;12;382;;1 710;7 266;11 659;172;730;143;1 339;539;539;3 090;1 048;244;28 873
;Besök per specialitet;Offentlig regi;Specialiserad psykiatrisk vård;Rättspsykiatri;Rättspsykiatri;Ej läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (och hembesök);2015;;;;;;;9;298;;1 626;7 870;12 325;182;659;173;1 301;351;843;2 928;967;322;29 854
;Besök per specialitet;Offentlig regi;Specialiserad psykiatrisk vård;Rättspsykiatri;Rättspsykiatri;Ej läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (och hembesök);2016;;;;134;1 236;;9;418;;1 945;8 747;13 951;101;676;151;1 471;513;1 087;2 494;886;341;34 160
;Besök per specialitet;Offentlig regi;Specialiserad psykiatrisk vård;Rättspsykiatri;Rättspsykiatri;Ej läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (och hembesök);2017;;0;;107;1 270;;11;411;;1 945;8 905;13 813;4;785;165;1 342;506;1 153;2 502;699;327;33 945
;Besök per specialitet;Offentlig regi;Specialiserad psykiatrisk vård;Rättspsykiatri;Rättspsykiatri;Läkare;Besök dagsjukvård;Besök dagsjukvård;2009;;;;;;;;;;;55;;;;;;;;;;;55
;Besök per specialitet;Offentlig regi;Specialiserad psykiatrisk vård;Rättspsykiatri;Rättspsykiatri;Läkare;Besök dagsjukvård;Besök dagsjukvård;2010;;;;;;;;;;;50;;;;;;;;;;;50
;Besök per specialitet;Offentlig regi;Specialiserad psykiatrisk vård;Rättspsykiatri;Rättspsykiatri;Läkare;Besök dagsjukvård;Besök dagsjukvård;2011;;;;;;;;;;;6;;;;;;;;;;;6
;Besök per specialitet;Offentlig regi;Specialiserad psykiatrisk vård;Rättspsykiatri;Rättspsykiatri;Läkare;Besök dagsjukvård;Besök dagsjukvård;2012;;;;;;;;;;;;;;;;;;;1;;;1
;Besök per specialitet;Offentlig regi;Specialiserad psykiatrisk vård;Rättspsykiatri;Rättspsykiatri;Läkare;Besök dagsjukvård;Besök dagsjukvård;2014;;;;;;;;;;;;;;1;;;;;;;;1
;Besök per specialitet;Offentlig regi;Specialiserad psykiatrisk vård;Rättspsykiatri;Rättspsykiatri;Läkare;Besök dagsjukvård;Besök dagsjukvård;2015;;;;;;;;;;;14;;;;;;;;;;;14
;Besök per specialitet;Offentlig regi;Specialiserad psykiatrisk vård;Rättspsykiatri;Rättspsykiatri;Läkare;Besök dagsjukvård;Besök dagsjukvård;2016;;;;;;;;;;0;6;;;;;;;;;;;6
;Besök per specialitet;Offentlig regi;Specialiserad psykiatrisk vård;Rättspsykiatri;Rättspsykiatri;Läkare;Besök dagsjukvård;Besök dagsjukvård;2017;;0;;;;;;;;;1;0;;;;0;0;;;0;;1
;Besök per specialitet;Offentlig regi;Specialiserad psykiatrisk vård;Rättspsykiatri;Rättspsykiatri;Läkare;Hemsjukvårdsbesök;Hemsjukvårdsbesök;2008;;;;1;;;;;;;;;;;;;;;;;;1
;Besök per specialitet;Offentlig regi;Specialiserad psykiatrisk vård;Rättspsykiatri;Rättspsykiatri;Läkare;Hemsjukvårdsbesök;Hemsjukvårdsbesök;2012;;;;;;;;;;;;;;;;;8;;;;;8
;Besök per specialitet;Offentlig regi;Specialiserad psykiatrisk vård;Rättspsykiatri;Rättspsykiatri;Läkare;Hemsjukvårdsbesök;Hemsjukvårdsbesök;2016;;;;;;;;;;0;;;;;;;1;;;;;1
;Besök per specialitet;Offentlig regi;Specialiserad psykiatrisk vård;Rättspsykiatri;Rättspsykiatri;Läkare;Hemsjukvårdsbesök;Hemsjukvårdsbesök;2017;;;;;;;;;;;;;;;;0;0;;;0;;0
;Besök per specialitet;Offentlig regi;Specialiserad psykiatrisk vård;Rättspsykiatri;Rättspsykiatri;Läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (och hembesök);2008;;;;4;;;;;1;;162;;;20;;6;;;272;;24;489
;Besök per specialitet;Offentlig regi;Specialiserad psykiatrisk vård;Rättspsykiatri;Rättspsykiatri;Läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (och hembesök);2009;;;;;;;;;;;667;;;47;;4;;;329;39;33;1 119
;Besök per specialitet;Offentlig regi;Specialiserad psykiatrisk vård;Rättspsykiatri;Rättspsykiatri;Läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (och hembesök);2010;;;;;;;;;1;;1 199;;38;2 305;;54;;;366;66;43;4 072
;Besök per specialitet;Offentlig regi;Specialiserad psykiatrisk vård;Rättspsykiatri;Rättspsykiatri;Läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (och hembesök);2011;;32;;;;;;54;;;854;;26;158;18;112;68;31;424;70;31;1 878
;Besök per specialitet;Offentlig regi;Specialiserad psykiatrisk vård;Rättspsykiatri;Rättspsykiatri;Läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (och hembesök);2012;;38;;;;;;59;;;1 128;;35;179;1;62;86;44;343;95;20;2 090
;Besök per specialitet;Offentlig regi;Specialiserad psykiatrisk vård;Rättspsykiatri;Rättspsykiatri;Läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (och hembesök);2013;;55;;;;;;42;;;1 025;2 418;34;150;;74;88;42;403;96;27;4 454
;Besök per specialitet;Offentlig regi;Specialiserad psykiatrisk vård;Rättspsykiatri;Rättspsykiatri;Läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (och hembesök);2014;;57;;;;;30;53;;92;1 257;2 832;34;127;18;70;41;108;293;146;31;5 189
;Besök per specialitet;Offentlig regi;Specialiserad psykiatrisk vård;Rättspsykiatri;Rättspsykiatri;Läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (och hembesök);2015;;53;;;;;10;43;;107;1 248;2 742;34;78;26;66;46;105;265;130;45;4 998
;Besök per specialitet;Offentlig regi;Specialiserad psykiatrisk vård;Rättspsykiatri;Rättspsykiatri;Läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (och hembesök);2016;;70;;4;17;;29;37;;96;1 311;2 861;20;86;22;58;29;88;223;106;54;5 111
;Besök per specialitet;Offentlig regi;Specialiserad psykiatrisk vård;Rättspsykiatri;Rättspsykiatri;Läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (och hembesök);2017;;69;;3;;;29;36;;96;1 363;2 379;1;97;46;53;13;103;161;100;64;4 613
;Besök per specialitet;Offentlig regi;Specialiserad somatisk vård;Geriatrisk vård;Geriatrisk vård;Ej läkare;Besök dagsjukvård;Besök dagsjukvård;2008;;6 402;;1 757;;;1 996;3 828;;;1 764;102;92;;;5 312;;;3 862;;;25 115
;Besök per specialitet;Offentlig regi;Specialiserad somatisk vård;Geriatrisk vård;Geriatrisk vård;Ej läkare;Besök dagsjukvård;Besök dagsjukvård;2009;;5 132;;;;;1 614;3 546;1;;1 802;206;1 369;;;4 878;3 128;;299;;;21 975
;Besök per specialitet;Offentlig regi;Specialiserad somatisk vård;Geriatrisk vård;Geriatrisk vård;Ej läkare;Besök dagsjukvård;Besök dagsjukvård;2010;;5 167;;;;;127;1 627;2;;1 742;297;113;;;4 400;414;;437;;;14 326
;Besök per specialitet;Offentlig regi;Specialiserad somatisk vård;Geriatrisk vård;Geriatrisk vård;Ej läkare;Besök dagsjukvård;Besök dagsjukvård;2011;;8 356;;;;;65;;;7;1 350;217;813;;;4 292;1 246;;514;;;16 860
;Besök per specialitet;Offentlig regi;Specialiserad somatisk vård;Geriatrisk vård;Geriatrisk vård;Ej läkare;Besök dagsjukvård;Besök dagsjukvård;2012;;1 204;;;;;99;;;9;1 807;6;38;;;3 233;1 563;74;577;;;8 610
;Besök per specialitet;Offentlig regi;Specialiserad somatisk vård;Geriatrisk vård;Geriatrisk vård;Ej läkare;Besök dagsjukvård;Besök dagsjukvård;2013;;;;1;11;;70;;;151;1 696;247;44;;;3 106;1 386;5;604;;;7 321
;Besök per specialitet;Offentlig regi;Specialiserad somatisk vård;Geriatrisk vård;Geriatrisk vård;Ej läkare;Besök dagsjukvård;Besök dagsjukvård;2014;;2 887;;;14;;146;15;;;3 419;196;36;;;244;2 140;3;546;1;;9 647
;Besök per specialitet;Offentlig regi;Specialiserad somatisk vård;Geriatrisk vård;Geriatrisk vård;Ej läkare;Besök dagsjukvård;Besök dagsjukvård;2015;;3 717;;;20;;144;27;;;3 273;173;16;;;;1 167;;554;1;;9 092
;Besök per specialitet;Offentlig regi;Specialiserad somatisk vård;Geriatrisk vård;Geriatrisk vård;Ej läkare;Besök dagsjukvård;Besök dagsjukvård;2016;;2 892;;;17;;145;54;;0;737;223;8;;;;1 758;;694;4;6;6 538
;Besök per specialitet;Offentlig regi;Specialiserad somatisk vård;Geriatrisk vård;Geriatrisk vård;Ej läkare;Besök dagsjukvård;Besök dagsjukvård;2017;;2 319;;1;12;;32;24;;;2;292;315;;;0;2 236;;853;2;924;7 012
;Besök per specialitet;Offentlig regi;Specialiserad somatisk vård;Geriatrisk vård;Geriatrisk vård;Ej läkare;Hemsjukvårdsbesök;Hemsjukvårdsbesök;2008;;;;3;;;;10 131;;;;147 752;;957;;;;;;;;158 843
;Besök per specialitet;Offentlig regi;Specialiserad somatisk vård;Geriatrisk vård;Geriatrisk vård;Ej läkare;Hemsjukvårdsbesök;Hemsjukvårdsbesök;2009;;;;;;;;9 103;;;;141 297;;784;;4 740;;;;;19 805;175 729
;Besök per specialitet;Offentlig regi;Specialiserad somatisk vård;Geriatrisk vård;Geriatrisk vård;Ej läkare;Hemsjukvårdsbesök;Hemsjukvårdsbesök;2010;;;;;;;160;12 227;;;;117 353;2 620;;;4 066;;;;;1;136 427
;Besök per specialitet;Offentlig regi;Specialiserad somatisk vård;Geriatrisk vård;Geriatrisk vård;Ej läkare;Hemsjukvårdsbesök;Hemsjukvårdsbesök;2011;;;;;;;2 188;13 853;;;;106 870;3 402;;;3 990;;;;;;130 303
;Besök per specialitet;Offentlig regi;Specialiserad somatisk vård;Geriatrisk vård;Geriatrisk vård;Ej läkare;Hemsjukvårdsbesök;Hemsjukvårdsbesök;2012;;;;;;;955;11 621;;;;115 935;4 101;;;3 475;19;;;;1;136 107
;Besök per specialitet;Offentlig regi;Specialiserad somatisk vård;Geriatrisk vård;Geriatrisk vård;Ej läkare;Hemsjukvårdsbesök;Hemsjukvårdsbesök;2013;;;;;;;;10 023;;;;145 596;4 221;11;;3 904;;;;;;163 755
;Besök per specialitet;Offentlig regi;Specialiserad somatisk vård;Geriatrisk vård;Geriatrisk vård;Ej läkare;Hemsjukvårdsbesök;Hemsjukvårdsbesök;2014;;;;;;;2 228;11 549;;;;178 300;4 037;3 621;;4 862;;;;;;204 597
;Besök per specialitet;Offentlig regi;Specialiserad somatisk vård;Geriatrisk vård;Geriatrisk vård;Ej läkare;Hemsjukvårdsbesök;Hemsjukvårdsbesök;2015;;;;;;;2 820;10 145;;;;173 118;4 499;3 394;;5 634;228;;;;1;199 839
;Besök per specialitet;Offentlig regi;Specialiserad somatisk vård;Geriatrisk vård;Geriatrisk vård;Ej läkare;Hemsjukvårdsbesök;Hemsjukvårdsbesök;2016;;;;;;;2 354;12 943;;0;;162 151;4 335;3 770;;4 622;482;;;6 188;1;196 846
;Besök per specialitet;Offentlig regi;Specialiserad somatisk vård;Geriatrisk vård;Geriatrisk vård;Ej läkare;Hemsjukvårdsbesök;Hemsjukvårdsbesök;2017;;;;;;;3 189;11 870;;;;161 550;5 274;3 862;;4 849;1 080;;;5 448;32 705;229 827
;Besök per specialitet;Offentlig regi;Specialiserad somatisk vård;Geriatrisk vård;Geriatrisk vård;Ej läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (och hembesök);2008;;4 231;;47;8 411;;10 878;4 498;360;163;2 363;23 785;1 684;9 036;;7 401;1 684;1 854;5 931;8 897;725;91 948
;Besök per specialitet;Offentlig regi;Specialiserad somatisk vård;Geriatrisk vård;Geriatrisk vård;Ej läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (och hembesök);2009;;2 412;;58;7 820;;12 483;4 689;316;180;2 890;13 346;3 861;6 385;;2 041;1 802;1 449;10 129;7 231;2 451;79 543
;Besök per specialitet;Offentlig regi;Specialiserad somatisk vård;Geriatrisk vård;Geriatrisk vård;Ej läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (och hembesök);2010;;7 117;;61;7 177;;15 841;5 266;262;195;8 105;15 124;916;3 052;;2 959;2 268;1 492;6 443;8 626;1 115;86 019
;Besök per specialitet;Offentlig regi;Specialiserad somatisk vård;Geriatrisk vård;Geriatrisk vård;Ej läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (och hembesök);2011;;8 044;;43;7 165;;10 015;8 093;298;336;9 689;14 889;5 093;2 904;;2 740;1 803;860;6 102;8 547;1 611;88 232
;Besök per specialitet;Offentlig regi;Specialiserad somatisk vård;Geriatrisk vård;Geriatrisk vård;Ej läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (och hembesök);2012;;12 343;;489;7 903;;10 219;6 119;53;440;9 187;15 287;6 175;1 573;;2 362;1 282;1 807;5 588;7 794;1 869;90 490
;Besök per specialitet;Offentlig regi;Specialiserad somatisk vård;Geriatrisk vård;Geriatrisk vård;Ej läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (och hembesök);2013;;15 299;;957;2;;12 953;6 321;140;348;8 267;10 058;7 453;1 538;;2 211;5 820;1 193;7 147;7 080;1 729;88 516
;Besök per specialitet;Offentlig regi;Specialiserad somatisk vård;Geriatrisk vård;Geriatrisk vård;Ej läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (och hembesök);2014;;20 444;;973;6;;13 193;2 330;77;455;7 327;7 471;8 286;1 742;;2 471;6 733;1 103;8 375;7 516;1 230;89 732
;Besök per specialitet;Offentlig regi;Specialiserad somatisk vård;Geriatrisk vård;Geriatrisk vård;Ej läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (och hembesök);2015;;23 845;;1 009;6;;11 260;1 128;99;;6 984;6 934;7 842;1 674;;2 476;1 924;1 224;8 922;6 860;1 258;83 445
;Besök per specialitet;Offentlig regi;Specialiserad somatisk vård;Geriatrisk vård;Geriatrisk vård;Ej läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (och hembesök);2016;;20 936;;991;;;12 653;1 201;107;0;7 211;7 483;5 704;1 314;;3 978;2 648;1 217;9 882;1 168;1 565;78 058
;Besök per specialitet;Offentlig regi;Specialiserad somatisk vård;Geriatrisk vård;Geriatrisk vård;Ej läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (och hembesök);2017;;18 639;;1 126;;;5 921;1 028;136;;6 940;6 623;7 600;1 378;;3 108;1 956;1 158;10 979;1 754;3 705;72 051
;Besök per specialitet;Offentlig regi;Specialiserad somatisk vård;Geriatrisk vård;Geriatrisk vård;Läkare;Besök dagsjukvård;Besök dagsjukvård;2008;;;;;;;9;116;;;1 430;91;8;;;320;2 615;;7;;;4 596
;Besök per specialitet;Offentlig regi;Specialiserad somatisk vård;Geriatrisk vård;Geriatrisk vård;Läkare;Besök dagsjukvård;Besök dagsjukvård;2009;;;;;;;36;99;4;;1 305;176;;;;277;181;;26;;;2 104
;Besök per specialitet;Offentlig regi;Specialiserad somatisk vård;Geriatrisk vård;Geriatrisk vård;Läkare;Besök dagsjukvård;Besök dagsjukvård;2010;;;;;;;58;;5;;9;19;2 363;1;;235;24;;62;;;2 776
;Besök per specialitet;Offentlig regi;Specialiserad somatisk vård;Geriatrisk vård;Geriatrisk vård;Läkare;Besök dagsjukvård;Besök dagsjukvård;2011;;;;1;;;119;257;;;3;8;6;;;232;139;;52;;;817
;Besök per specialitet;Offentlig regi;Specialiserad somatisk vård;Geriatrisk vård;Geriatrisk vård;Läkare;Besök dagsjukvård;Besök dagsjukvård;2012;;;;1;;;110;252;;1;2;2;2;;;25;;;7;;;402
;Besök per specialitet;Offentlig regi;Specialiserad somatisk vård;Geriatrisk vård;Geriatrisk vård;Läkare;Besök dagsjukvård;Besök dagsjukvård;2013;;;;;;;67;134;;;16;6;3;2;;24;151;;8;;;411
;Besök per specialitet;Offentlig regi;Specialiserad somatisk vård;Geriatrisk vård;Geriatrisk vård;Läkare;Besök dagsjukvård;Besök dagsjukvård;2014;;11;;;5;;97;85;;;25;13;2;1;;;207;;1;;;447
;Besök per specialitet;Offentlig regi;Specialiserad somatisk vård;Geriatrisk vård;Geriatrisk vård;Läkare;Besök dagsjukvård;Besök dagsjukvård;2015;;2;;;1;;132;22;;;33;13;1;1;;;163;;2;;;370
;Besök per specialitet;Offentlig regi;Specialiserad somatisk vård;Geriatrisk vård;Geriatrisk vård;Läkare;Besök dagsjukvård;Besök dagsjukvård;2016;;2;;;1;;115;6;;0;3;4;8;1;;;424;;4;1;2;571
;Besök per specialitet;Offentlig regi;Specialiserad somatisk vård;Geriatrisk vård;Geriatrisk vård;Läkare;Besök dagsjukvård;Besök dagsjukvård;2017;;2;;;;;19;1;;;3;9;5;2;;0;188;;10;1;29;269
;Besök per specialitet;Offentlig regi;Specialiserad somatisk vård;Geriatrisk vård;Geriatrisk vård;Läkare;Hemsjukvårdsbesök;Hemsjukvårdsbesök;2008;;;;3;;;;230;;;;7 380;;108;;;;;;;;7 721
;Besök per specialitet;Offentlig regi;Specialiserad somatisk vård;Geriatrisk vård;Geriatrisk vård;Läkare;Hemsjukvårdsbesök;Hemsjukvårdsbesök;2009;;;;;;;;172;;;;5 877;;127;;112;;;;;2 203;8 491
;Besök per specialitet;Offentlig regi;Specialiserad somatisk vård;Geriatrisk vård;Geriatrisk vård;Läkare;Hemsjukvårdsbesök;Hemsjukvårdsbesök;2010;;;;;;;753;215;;;;5 656;258;;;618;;;;;4;7 504
;Besök per specialitet;Offentlig regi;Specialiserad somatisk vård;Geriatrisk vård;Geriatrisk vård;Läkare;Hemsjukvårdsbesök;Hemsjukvårdsbesök;2011;;;;;;;1 809;244;;;;5 858;220;;;124;;;;;1;8 256
;Besök per specialitet;Offentlig regi;Specialiserad somatisk vård;Geriatrisk vård;Geriatrisk vård;Läkare;Hemsjukvårdsbesök;Hemsjukvårdsbesök;2012;;;;;;;1 058;189;;;;6 426;173;;;44;1;;;;2;7 893
;Besök per specialitet;Offentlig regi;Specialiserad somatisk vård;Geriatrisk vård;Geriatrisk vård;Läkare;Hemsjukvårdsbesök;Hemsjukvårdsbesök;2013;;;;;;;2 040;165;;;;8 387;154;2;;52;;;;;1;10 801
;Besök per specialitet;Offentlig regi;Specialiserad somatisk vård;Geriatrisk vård;Geriatrisk vård;Läkare;Hemsjukvårdsbesök;Hemsjukvårdsbesök;2014;;;;;;;2 635;175;;;;21 653;193;227;;23;;;;;1;24 907
;Besök per specialitet;Offentlig regi;Specialiserad somatisk vård;Geriatrisk vård;Geriatrisk vård;Läkare;Hemsjukvårdsbesök;Hemsjukvårdsbesök;2015;;;;;;;3 165;142;;;;11 314;142;218;;50;90;;;;;15 121
;Besök per specialitet;Offentlig regi;Specialiserad somatisk vård;Geriatrisk vård;Geriatrisk vård;Läkare;Hemsjukvårdsbesök;Hemsjukvårdsbesök;2016;;;;;;;3 297;226;;0;;11 243;225;233;;52;182;;;254;2;15 714
;Besök per specialitet;Offentlig regi;Specialiserad somatisk vård;Geriatrisk vård;Geriatrisk vård;Läkare;Hemsjukvårdsbesök;Hemsjukvårdsbesök;2017;;;;;;;4 541;197;;;;10 307;411;184;;33;181;;;158;3 278;19 290
;Besök per specialitet;Offentlig regi;Specialiserad somatisk vård;Geriatrisk vård;Geriatrisk vård;Läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (och hembesök);2008;;1 765;;576;329;;2 804;1 304;731;660;2 652;12 154;720;1 666;;2 285;3 708;838;3 304;531;1 021;37 048
;Besök per specialitet;Offentlig regi;Specialiserad somatisk vård;Geriatrisk vård;Geriatrisk vård;Läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (och hembesök);2009;;1 763;;570;297;;2 607;1 604;680;895;3 434;9 499;1 522;1 835;;2 365;3 461;982;3 004;642;2 591;37 751
;Besök per specialitet;Offentlig regi;Specialiserad somatisk vård;Geriatrisk vård;Geriatrisk vård;Läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (och hembesök);2010;;3 689;;702;301;;2 379;1 886;407;889;9 883;10 148;469;1 424;;2 169;3 059;922;2 674;688;1 299;42 988
;Besök per specialitet;Offentlig regi;Specialiserad somatisk vård;Geriatrisk vård;Geriatrisk vård;Läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (och hembesök);2011;;3 117;;655;350;;2 138;1 959;231;918;10 088;10 332;662;1 647;;1 411;3 207;724;2 542;994;1 425;42 400
;Besök per specialitet;Offentlig regi;Specialiserad somatisk vård;Geriatrisk vård;Geriatrisk vård;Läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (och hembesök);2012;;2 162;;768;380;;3 237;1 902;243;1 400;10 570;10 387;813;1 471;;1 575;2 947;1 855;2 063;1 048;1 425;44 246
;Besök per specialitet;Offentlig regi;Specialiserad somatisk vård;Geriatrisk vård;Geriatrisk vård;Läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (och hembesök);2013;;2 850;;821;3;;3 180;1 748;65;1 290;10 619;9 730;841;1 605;;1 679;1 650;847;2 296;931;1 369;41 524
;Besök per specialitet;Offentlig regi;Specialiserad somatisk vård;Geriatrisk vård;Geriatrisk vård;Läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (och hembesök);2014;;3 310;;843;7;;3 102;835;100;726;9 973;10 182;772;1 659;;1 516;1 681;704;2 099;971;1 309;39 789
;Besök per specialitet;Offentlig regi;Specialiserad somatisk vård;Geriatrisk vård;Geriatrisk vård;Läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (och hembesök);2015;;3 180;;810;1;;2 937;449;28;;9 666;10 434;906;1 490;;1 362;1 578;752;2 426;848;1 359;38 226
;Besök per specialitet;Offentlig regi;Specialiserad somatisk vård;Geriatrisk vård;Geriatrisk vård;Läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (och hembesök);2016;;2 858;;738;;;2 101;466;149;0;9 582;10 110;1 023;1 661;;1 281;4 366;893;3 233;808;1 719;40 988
;Besök per specialitet;Offentlig regi;Specialiserad somatisk vård;Geriatrisk vård;Geriatrisk vård;Läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (och hembesök);2017;;2 843;;759;;;1 375;391;215;;8 494;9 861;1 617;2 007;;1 245;1 880;823;3 836;888;2 365;38 599
;Besök per specialitet;Offentlig regi;Specialiserad somatisk vård;Kirurgi;Allmän kirurgi;Ej läkare;Besök dagsjukvård;Besök dagsjukvård;2008;1 751;4 898;3;16;;1 910;516;1 917;729;3 547;327;1 600;31;;;1 539;878;145;8 856;;;28 663
;Besök per specialitet;Offentlig regi;Specialiserad somatisk vård;Kirurgi;Allmän kirurgi;Ej läkare;Besök dagsjukvård;Besök dagsjukvård;2009;3 760;664;7;40;;2 402;290;11;619;3 531;382;2 342;;;;1 354;1 567;149;8 600;;182;25 900
;Besök per specialitet;Offentlig regi;Specialiserad somatisk vård;Kirurgi;Allmän kirurgi;Ej läkare;Besök dagsjukvård;Besök dagsjukvård;2010;3 875;824;27;30;;1 692;460;;1 016;3 691;340;1 556;;;;1 690;1 384;41;4 094;;191;20 911
;Besök per specialitet;Offentlig regi;Specialiserad somatisk vård;Kirurgi;Allmän kirurgi;Ej läkare;Besök dagsjukvård;Besök dagsjukvård;2011;4 236;927;9;75;2 267;2 364;781;1 629;1 376;3 951;46;1 168;74;2;;1 739;2 083;11;3 011;;218;25 967
;Besök per specialitet;Offentlig regi;Specialiserad somatisk vård;Kirurgi;Allmän kirurgi;Ej läkare;Besök dagsjukvård;Besök dagsjukvård;2012;5 065;879;1;18;2 260;2 307;1 419;1 672;1 279;4 380;36;872;169;5;;1 820;214;64;2 627;;100;25 187
